,Person Description,Place Code,Customer Order,Additional Features in market,Promotion Name,Store Kind,Store Sales,Store Cost,Product Weights Data in (KG),Is Recyclable?,Min. Yearly Income,Store Area,Grocery Area,Frozen Area,Meat Area,Cost
mc_ID_0,"Single Female with four children, education: bachelors degree working as professional",H11go_ZA,"Cleaning Supplies from Household department, Ordered Brand : Red Wing","['Video Store', 'Florist', 'Ready Food', 'Coffee Bar', 'Bar For Salad']",Dimes Off,Deluxe,8.76 Millions,4.2924 Millions,"{'Gross Weight': 28.1997, 'Net Weight': 26.6008, 'Package Weight': 1.599}",recyclable,10K+,2842.23,2037.64,481.98,323,602.7575
mc_ID_1,"Single Female with three children, education: bachelors degree working as management",S04ne_WA,"Snack Foods from Snack Foods department, Ordered Brand : Nationeel",,Budget Bargains,Supermarket,6.36 Millions,1.9716 Millions,"{'Gross Weight': 16.571, 'Net Weight': 14.972, 'Package Weight': 1.599}",non recyclable,50K+,2814.95,2049.72,457.36,,708.665
mc_ID_2,"Married Male with two children, education: high school degree working as skilled manual",L05es_CA,"Magazines from Periodicals department, Ordered Brand : Excel",['Florist'],Shelf Emptiers,Supermarket,10.86 Millions,4.4526 Millions,"{'Gross Weight': 28.6358, 'Net Weight': 27.1822, 'Package Weight': 1.4536}",recyclable,30K+,2192.32,1322.21,523.32,348.85,564.2647
mc_ID_3,"Single Female with three children, education: partial college working as professional",S03le_WA,"Dairy from Dairy department, Ordered Brand : Carlson",['Coffee Bar'],Savings Galore,,1.98 Millions,0.6732 Millions,"{'Gross Weight': 14.2161, 'Net Weight': 11.2944, 'Package Weight': 2.9217}",recyclable,30K+,1974.73,,440.92,293.95,724.5119
mc_ID_4,"Married Female with five children, education: bachelors degree working as professional",M10da_YU,"Vegetables from Produce department, Ordered Brand : Hermanos","['Bar For Salad', 'Ready Food', 'Coffee Bar', 'Video Store', 'Florist']",Sale Winners,Deluxe,11.56 Millions,4.9708 Millions,"{'Gross Weight': 12.6172, 'Net Weight': 9.71, 'Package Weight': 2.9072}",non recyclable,50K+,2862.3,1872.19,593.93,395.95,519.7574
mc_ID_5,"Single Male with four children, education: high school degree working as manual",S03le_WA,"Candles from Household department, Ordered Brand : Red Wing",['Coffee Bar'],Weekend Discount,Supermarket,5.22 Millions,1.6182 Millions,"{'Gross Weight': 15.4081, 'Net Weight': 13.9545, 'Package Weight': 1.4536}",recyclable,30K+,1970.17,1236.07,440.92,293.95,364.1649
mc_ID_6,"Married Female with five children, education: high school degree working as professional",S04ne_WA,"Pain Relievers from Health and Hygiene department, Ordered Brand : Steady",,Price Winners,,8.49 Millions,3.7356 Millions,"{'Gross Weight': 17.1524, 'Net Weight': 14.2452, 'Package Weight': 2.9072}",recyclable,130K+,2814.82,2049.72,457.36,304.91,599.358
mc_ID_7,"Married Male with four children, education: partial high school working as skilled manual",A17co_GU,"Vegetables from Frozen Foods department, Ordered Brand : Golden",,Shelf Clearing Days,Supermarket,6.57 Millions,2.6937 Millions,"{'Gross Weight': 17.2978, 'Net Weight': 14.376, 'Package Weight': 2.9217}",recyclable,10K+,,1623.48,341.05,,288.8006
mc_ID_8,"Married Male with five children, education: high school degree working as skilled manual",O09ba_VE,"Beer and Wine from Alcoholic Beverages department, Ordered Brand : Top Measure","['Bar For Salad', 'Ready Food']",Big Time Discounts,Supermarket,2.43 Millions,1.1907 Millions,"{'Gross Weight': 25.1472, 'Net Weight': 23.5482, 'Package Weight': 1.599}",recyclable,30K+,3236.46,2449.91,472.27,313.55,501.9754
mc_ID_9,"Single Male with one child, education: high school degree working as manual",S01em_OR,"Vegetables from Produce department, Ordered Brand : Tri-State","['Bar For Salad', 'Video Store', 'Ready Food', 'Coffee Bar', 'Florist']",Lottery Cash Registerion,Deluxe,4.02 Millions,1.2864 Millions,"{'Gross Weight': 14.972, 'Net Weight': 12.0648, 'Package Weight': 2.9072}",non recyclable,30K+,2572.49,1734.5,503.07,333.55,290.7357
